id,name,performer,price,time_start,time_end,venue,address,city,postcode,latitude,longitude,tags
138397,Jeff Koons,,Free,"Mar 27, 2011 10:00 AM","Mar 27, 2011 5:00 PM",Scottish National Gallery of Modern Art,75 Belford Road,Edinburgh,EH4 3DR,55.951084,-3.225292,"Art, pop art, Culture"
139409,Scratching the Surface,,Free,"Mar 27, 2011 10:00 AM","Mar 27, 2011 6:00 PM",St Margaret's House Art's Complex,151 London Road,Edinburgh,EH8 7TG,55.9557,-3.1524,"Art, Drawings, prints"
143098,Happenings,,Free,"Mar 27, 2011 10:00 AM","Mar 27, 2011 6:00 PM",St Margaret's House Art's Complex,151 London Road,Edinburgh,EH8 7TG,55.9557,-3.1524,Art
131077,Hertie Querty,,Free,"Mar 27, 2011 11:00 AM","Mar 27, 2011 5:00 PM",Gallery of Modern Art,Royal Exchange Square,Glasgow,G1 3AH,55.859848,-4.252527,"Art, contemporary art, Photography, video, Installation"
135846,White Knight,,Free,"Mar 27, 2011 11:00 AM","Mar 27, 2011 5:00 PM",Collective Gallery,22-28 Cockburn Street,Edinburgh,EH1 1NY,55.950516,-3.18993,"Art, architecture"
137374,China Through The Lens,,Free,"Mar 27, 2011 11:00 AM","Mar 27, 2011 5:00 PM",Burrell Collection,2060 Pollokshaws Road,Glasgow,G43 1AT,55.823643,-4.304206,Art
138555,Blueprint for a Bogey,,Free,"Mar 27, 2011 11:00 AM","Mar 27, 2011 5:00 PM",Gallery of Modern Art,Royal Exchange Square,Glasgow,G1 3AH,55.859848,-4.252527,Art
131303,Dead Calm: Jean-Marc Bustamante,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 5:00 PM",Fruitmarket Gallery,45 Market Street,Edinburgh,EH1 1DF,55.951305,-3.190002,"Art, sculpture, painting, architecture, Installation"
135485,DÈj‡ vu: Manfred Pernice,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 5:30 PM",DCA,152 Nethergate,Dundee,DD1 4DY,56.45731,-2.97474,"Art, sculpture, architecture"
135885,More Nudes In Colour,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 6:00 PM",Tramway,25 Albert Drive,Glasgow,G41 2PE,55.84145,-4.26734,"Art, Keith Farquhar, sculpture"
137517,In Case It Rains In Heaven: Kurt Tong,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 5:00 PM",Street Level Photoworks,48 King Street,Glasgow,G1 5QP,55.856804,-4.246934,Art
138032,Jack Frame,,Free,"Mar 27, 2011 12:00 PM","Mar 27, 2011 5:00 PM",scotlandart.com,6 Burnfield Road ,Glasgow,G46 7QB,55.806541,-4.29499,Art
